school_id,school_name,city,state,tier,is_t14,se_strength,ii_strength,sd_strength,has_center,has_clinic,has_events,has_partnership,partnership_note,school_url
nyu,New York University School of Law,New York,NY,Strong Institutional Commitment,TRUE,3,3,3,TRUE,TRUE,TRUE,TRUE,"Stern, Wagner, cross-school initiatives",https://www.law.nyu.edu/
columbia,Columbia Law School,New York,NY,Strong Institutional Commitment,TRUE,2,3,3,TRUE,TRUE,TRUE,TRUE,Joint center with Climate School,https://www.law.columbia.edu/
georgetown,Georgetown University Law Center,Washington,DC,Strong Institutional Commitment,TRUE,3,2,2,TRUE,TRUE,FALSE,TRUE,McDonough School of Business,https://www.law.georgetown.edu/
yale,Yale Law School,New Haven,CT,Strong Institutional Commitment,TRUE,2,3,3,FALSE,TRUE,FALSE,TRUE,SOM Program on Social Enterprise,https://law.yale.edu/
northwestern,Northwestern Pritzker School of Law,Chicago,IL,Strong Institutional Commitment,TRUE,3,2,2,TRUE,TRUE,TRUE,TRUE,Kellogg School of Management,https://www.law.northwestern.edu/
berkeley,UC Berkeley School of Law,Berkeley,CA,Strong Institutional Commitment,TRUE,3,2,3,TRUE,FALSE,TRUE,FALSE,,https://www.law.berkeley.edu/
michigan,University of Michigan School of Law,Ann Arbor,MI,Strong Institutional Commitment,TRUE,2,2,2,FALSE,TRUE,FALSE,FALSE,,https://michigan.law.umich.edu/
virginia,University of Virginia School of Law,Charlottesville,VA,Strong Institutional Commitment,TRUE,2,2,2,TRUE,FALSE,FALSE,FALSE,,https://www.law.virginia.edu/
ucla,UCLA School of Law,Los Angeles,CA,Strong Institutional Commitment,FALSE,2,2,2,FALSE,FALSE,TRUE,TRUE,Berkeley Law partnership for CLE,https://law.ucla.edu/
bc,Boston College Law School,Newton,MA,Substantial Institutional Commitment,FALSE,2,2,1,TRUE,TRUE,FALSE,TRUE,Center for Corporate Citizenship,https://www.bc.edu/bc-web/schools/law.html
umkc,University of Missouri-Kansas City School of Law,Kansas City,MO,Substantial Institutional Commitment,FALSE,3,1,1,FALSE,FALSE,TRUE,FALSE,,https://law.umkc.edu/
uw,University of Washington School of Law,Seattle,WA,Substantial Institutional Commitment,FALSE,2,1,2,TRUE,FALSE,FALSE,FALSE,,https://www.law.uw.edu/
brooklyn,Brooklyn Law School,Brooklyn,NY,Some Institutional Commitment,FALSE,2,1,0,TRUE,TRUE,FALSE,FALSE,,https://www.brooklaw.edu/
northeastern,Northeastern University School of Law,Boston,MA,Some Institutional Commitment,FALSE,2,1,1,TRUE,TRUE,FALSE,TRUE,NUImpact Fund cross-school,https://law.northeastern.edu/
pace,Pace University Elisabeth Haub School of Law,White Plains,NY,Some Institutional Commitment,FALSE,1,1,3,TRUE,FALSE,FALSE,FALSE,,https://law.pace.edu/
pepperdine,Pepperdine Caruso School of Law,Malibu,CA,Some Institutional Commitment,FALSE,1,1,1,FALSE,FALSE,TRUE,FALSE,,https://law.pepperdine.edu/
wvu,West Virginia University College of Law,Morgantown,WV,Some Institutional Commitment,FALSE,1,0,2,FALSE,TRUE,FALSE,FALSE,,https://law.wvu.edu/
